"","cluster","X","class","species","mean_NMI","AltRange","Rough","Remot","RecInsul","DistNatAlien","PD","BodyMass","NatRangeSize","ED.Alien","mean.HII","Residence.time"
"91","Serinus canaria_Ireland",102,"Aves","Serinus canaria",-1.841180547,3470,289.26,96368.76,"Continent",2257.355168,4068.799,24.3,10555.56287,0.44442954,22.2,NA
"92","Serinus canaria_Italy",37,"Aves","Serinus canaria",-1.011285156,3470,289.26,96368.76,"Continent",2375.46074,5475.746,24.3,10555.56287,0.714706275,26.4022988505747,1590
"93","Serinus canaria_Midway Islands",108,"Aves","Serinus canaria",-1.89811339,3470,289.26,96368.76,"Island",11706.43239,1062.928,24.3,10555.56287,0.490621135,NA,NA
"94","Serinus canaria_Netherlands",2,"Aves","Serinus canaria",-1.917326932,3470,289.26,96368.76,"Continent",2666.711711,5582.384,24.3,10555.56287,0.60504708,22,NA
"95","Serinus canaria_New Zealand",15,"Aves","Serinus canaria",-1.967603,3470,289.26,96368.76,"Island",17662.52304,4275.153,24.3,10555.56287,0.383109552,34.4285714285714,NA
"96","Serinus canaria_Poland",36,"Aves","Serinus canaria",-1.86099558,3470,289.26,96368.76,"Continent",3255.970078,5151.847,24.3,10555.56287,0.748746845,26.125,NA
"97","Serinus canaria_Portugal",10,"Aves","Serinus canaria",0.317596255,3470,289.26,96368.76,"Continent",831.109918,5749.004,24.3,10555.56287,0.752002243,25.452380952381,2003
"98","Serinus canaria_Spain",33,"Aves","Serinus canaria",-0.176009432,3470,289.26,96368.76,"Continent",961.4091119,5655.691,24.3,10555.56287,0.67236102,26.5515463917526,1988
"99","Serinus canaria_United States",38,"Aves","Serinus canaria",-0.661645874,3470,289.26,96368.76,"Continent",3327.764248,6005.686,24.3,10555.56287,0.46282927,48.6111111111111,1910
"100","Sphaerodactylus argus_Cuba",30,"Reptilia","Sphaerodactylus argus",0.505,1732,99.97,82660.34,"Island",216.5705231,2631.517,0.9,33517.26534,0.016414829,35,NA
"101","Sphaerodactylus argus_Mexico",103,"Reptilia","Sphaerodactylus argus",-0.833,1732,99.97,82660.34,"Continent",1089.018751,3222.776,0.9,33517.26534,0.039610173,37.6666666666667,1974
"102","Sphaerodactylus elegans_United States",6,"Reptilia","Sphaerodactylus elegans",-0.124,2159,65.49,198496.64,"Continent",158.7515177,1705.728,1.5,120541.2323,0.098359779,38,1945
"103","Streptopelia bitorquata_Guam",25,"Aves","Streptopelia bitorquata",0.290223,3130,141.97,453268.76,"Island",3457.753885,2596.682,153,187501.1215,0.229826944,42.6052631578947,1771
"104","Streptopelia bitorquata_Indonesia",118,"Aves","Streptopelia bitorquata",0.7605,3130,141.97,453268.76,"Island",1327.082705,10994.759,153,187501.1215,0.733360739,37,1875
"105","Streptopelia bitorquata_Northern Mariana Islands",21,"Aves","Streptopelia bitorquata",0.0697,3130,141.97,453268.76,"Island",3565.289729,2375.095,153,187501.1215,0.183591444,35.9117647058824,1750
"106","Syrmaticus soemmerringii_United States",70,"Aves","Syrmaticus soemmerringii",-1.7122,3644,213.09,173785.49,"Continent",8108.571141,5425.185,1081.7,175126.6244,0.676698616,28.2,1870
"107","Tadorna variegata_Belgium",8,"Aves","Tadorna variegata",0.1754,3331,232.72,1640316.75,"Continent",17877.52826,5300.211,1541,269037.401,0.576759651,32.7777777777778,NA
"108","Tadorna variegata_Sweden",5,"Aves","Tadorna variegata",-0.3903,3331,232.72,1640316.75,"Continent",16836.93345,4904.131,1541,269037.401,0.772073913,40,NA
"109","Taeniopygia guttata_Australia",66,"Aves","Taeniopygia guttata",-1.9597,3368,217.44,449164.06,"Continent",676.1683355,6264.188,12,83934.32159,0.19337399,8.84805852560495,1937
"110","Tanygnathus lucionensis_Malaysia",42,"Aves","Tanygnathus lucionensis",0.8012,2731,178.08,649870.71,"Island",195.3961072,10690.019,215,292647.8111,0.732810143,35.1610169491525,1961
"111","Teira dugesii_Portugal",75,"Reptilia","Teira dugesii",-6.705,1600,440.26,374327.66,"Continent",887.4917021,1694.769,12.3,819.6066015,0.150722635,47.12,1992
"112","Teira dugesii_Portugal_AZ",12,"Reptilia","Teira dugesii",-42.543,1600,440.26,374327.66,"Island",846.1146707,242.774,12.3,819.6066015,1,27.6437346437346,1860
"113","Turdus plumbeus_Cayman Islands",89,"Aves","Turdus plumbeus",-7.6781,44,4.39,103152.3,"Island",579.2845869,4483.098,75.3,7104.178605,0.541812873,25.8,1977
"114","Turdus plumbeus_United States",100,"Aves","Turdus plumbeus",-19.9384,44,4.39,103152.3,"Continent",211.7022872,6353.014,75.3,7104.178605,0.677357683,38,2002
"115","Turdus poliocephalus_Australia",106,"Aves","Turdus poliocephalus",-0.0888,NA,NA,NA,"Continent",1679.529874,1244.024,61.6,248540.5346,0.943996724,14,1925
"116","Turnix nigricollis_Mauritius",111,"Aves","Turnix nigricollis",-0.1603,2816,100.55,287521.47,"Island",880.485265,2204.652,61.3,596517.8914,0.776277616,18,1669
"117","Turnix nigricollis_Reunion",68,"Aves","Turnix nigricollis",-0.2937,2816,100.55,287521.47,"Island",692.149455,2160.971,61.3,596517.8914,0.487083404,31.7872340425532,1962
"118","Vini peruviana_Cook Islands",93,"Aves","Vini peruviana",-0.08,1509,374.53,5432943.24,"Island",889.9830517,840.142,29,1710.928353,0.381786325,18,1919
